"https://github.com	 11 11 11 33"
"https://github.com/trending	 4 3 4 11"
"https://opensource.guide	 1 0 1 2"
"https://github.com/join	 1 0 1 2"
"https://resources.github.com	 4 3 4 11"
"https://github.com/readme	 2 5 2 9"
"https://github.com/hashicorp/terraform	 6 5 6 17"
"https://github.com/join?ref_cta=Sign+up&ref_loc=header+logged+out&ref_page=%2F&source=header-home	 1 0 1 2"
"https://github.com/sponsors	 1 0 1 2"
"https://docs.github.com/articles/supported-browsers	 1 4 1 6"
"https://twitter.com/github	 0 0 0 0"
"https://github.com/apple/swift	 5 18 5 28"
"https://github.com/	 11 11 11 33"
"https://github.com#home-community	 11 11 11 33"
"https://github.com/about	 1 4 1 6"
"https://opensource.guide/how-to-contribute/	 1 2 1 4"
"https://github.com/login?return_to=%2Fsignalapp%2FSignal-Server	 0 0 0 0"
"https://github.com/trending/sugarss?since=daily	 2 3 2 7"
"https://github.com/trending/yasnippet?since=daily	 2 3 2 7"
"https://github.com/ihebski	 2 0 2 4"
"https://github.com/trending/svelte?since=daily	 2 3 2 7"
"https://github.com/login?return_to=%2Fliuhuanyong%2FChineseDiachronicCorpus	 0 0 0 0"
"https://github.com/trending/sas?since=daily	 2 3 2 7"
"https://github.com/readme/nominate	 1 0 1 2"
"https://github.com/trending/xs?since=daily	 2 3 2 7"
"https://atom.io/docs	 1 1 1 3"
"https://docs.github.com/en/free-pro-team@latest/github/setting-up-and-managing-your-github-profile/troubleshooting-commits-on-your-timeline	 1 0 1 2"
"https://resources.github.com/whitepapers/Seven-Tips-for-Faster-Development/	 2 7 2 11"
"https://github.com/hashicorp/terraform/blob/master/Dockerfile	 3 3 3 9"
"https://github.com/trending/erlang?since=daily	 2 3 2 7"
"https://github.com/phinze	 2 0 2 4"
"https://github.com/xiaogaozi	 2 0 2 4"
"https://github.com/trending/jsx?since=daily	 2 3 2 7"
"https://github.com/apple/swift/blob/main/docs/HowToGuides/GettingStarted.md	 3 100 3 106"
"https://github.com/hashicorp/terraform/blob/master/main_test.go	 5 0 5 10"
"https://github.com/hashicorp/terraform/releases/tag/v0.14.4	 3 0 3 6"
